DTYYYYMMDD,Open,High,Low,Close,Vol
20150509,1.23354,1.23366,1.23189,1.23288,5236.0
20150510,1.23287,1.23443,1.23277,1.23331,4917.0
20150511,1.23331,1.23382,1.2329,1.23309,4575.0
20150512,1.2331,1.23346,1.23269,1.23301,4395.0
20150513,1.23302,1.23434,1.23232,1.23268,5175.0
20150514,1.23268,1.2344,1.23119,1.23334,10407.0
20150515,1.23334,1.23485,1.23236,1.23292,11009.0
20150516,1.23293,1.23456,1.23237,1.23366,9661.0
20150517,1.23365,1.23403,1.23183,1.23357,9656.0
20150518,1.23359,1.23582,1.2322,1.23518,9244.0
20150519,1.23517,1.23556,1.23291,1.23316,9533.0
20150520,1.23318,1.23554,1.23143,1.23482,15210.0
20150521,1.2348,1.2357,1.23354,1.23521,15414.0
20150522,1.23521,1.23646,1.23379,1.23581,14698.0
20150523,1.2358,1.23752,1.23519,1.23634,10817.0
20150524,1.23635,1.23768,1.23597,1.23717,8035.0
20150525,1.23716,1.23893,1.23649,1.23803,7310.0
20150526,1.23801,1.23932,1.23755,1.2391,5829.0
20150527,1.2391,1.23965,1.23856,1.2386,6652.0
20150528,1.23861,1.23923,1.23858,1.23906,3342.0
20150529,1.23868,1.2391,1.23826,1.23838,308.0
20150530,1.23834,1.23971,1.23827,1.23911,1167.0
20150531,1.23911,1.23962,1.23792,1.2385,3142.0
20150601,1.23851,1.23951,1.2376,1.23842,4743.0
20150602,1.23841,1.23934,1.238,1.23865,3851.0
20150603,1.23865,1.23875,1.23781,1.238,2927.0
20150604,1.238,1.23809,1.23675,1.23681,4175.0
20150605,1.23682,1.23787,1.23639,1.23778,4068.0
20150606,1.23778,1.23817,1.23637,1.23658,4312.0
20150607,1.23659,1.23735,1.23503,1.23627,7524.0
20150608,1.23626,1.238,1.23501,1.23531,9811.0
20150609,1.2353,1.23567,1.23376,1.23404,9585.0
20150610,1.23401,1.23701,1.23354,1.23658,9313.0
20150611,1.2366,1.23681,1.23508,1.23517,6693.0
20150612,1.23518,1.23597,1.23408,1.23521,7924.0
20150613,1.23522,1.23598,1.23344,1.23403,9435.0
20150614,1.23403,1.23654,1.23355,1.23605,13023.0
20150615,1.23604,1.23947,1.23554,1.23688,13499.0
20150616,1.23688,1.23837,1.23655,1.23701,9480.0
20150617,1.23701,1.2391,1.23684,1.23855,6671.0
20150618,1.23854,1.23971,1.23723,1.23903,8462.0
20150619,1.23903,1.24003,1.23886,1.23954,5135.0
20150620,1.23953,1.24033,1.23898,1.23935,4902.0
20150621,1.23938,1.24036,1.23928,1.23996,1306.0
20150622,1.23997,1.24024,1.2396,1.24003,239.0
20150623,1.24004,1.2413,1.24004,1.24047,1618.0
20150624,1.24047,1.24242,1.24025,1.24233,4152.0
20150625,1.24233,1.24327,1.24191,1.24249,4877.0
20150626,1.24251,1.24317,1.24212,1.24241,2587.0
20150627,1.24242,1.24469,1.24242,1.24319,3078.0
20150628,1.2432,1.24321,1.24194,1.24241,3420.0
20150629,1.2424,1.24269,1.24131,1.24132,2708.0
20150630,1.24132,1.24246,1.24077,1.24162,5388.0
20150701,1.24163,1.24308,1.23933,1.24164,8227.0
20150702,1.24163,1.24223,1.23998,1.24116,10067.0
20150703,1.24115,1.24233,1.24039,1.24058,6900.0
20150704,1.24057,1.24079,1.23696,1.23709,8105.0
20150705,1.23708,1.23729,1.23495,1.23533,8298.0
20150706,1.23532,1.23718,1.23496,1.23649,7991.0
20150707,1.2365,1.23694,1.23344,1.23449,10015.0
20150708,1.23447,1.23546,1.23298,1.23473,11865.0
20150709,1.23474,1.23765,1.23225,1.23696,12961.0
20150710,1.23697,1.23868,1.23601,1.23681,10002.0
20150711,1.2368,1.23731,1.23621,1.23678,6624.0
20150712,1.23677,1.23871,1.2367,1.23708,5476.0
20150713,1.23709,1.23752,1.2355,1.23647,6612.0
20150714,1.23648,1.23744,1.23626,1.23722,8620.0
20150715,1.23722,1.23792,1.23692,1.23784,1127.0
20150716,1.23775,1.23785,1.23712,1.23734,266.0
20150717,1.23734,1.23841,1.23734,1.23774,1217.0
20150718,1.23775,1.2381,1.23729,1.23772,3886.0
20150719,1.23773,1.23894,1.23752,1.23873,3532.0
20150720,1.23872,1.239,1.23847,1.23869,3117.0
20150721,1.2387,1.23902,1.2379,1.23801,2929.0
20150722,1.23802,1.23837,1.23738,1.2383,2136.0
20150723,1.23831,1.23931,1.2381,1.23857,2562.0
20150724,1.23856,1.24068,1.23853,1.24013,3976.0
20150725,1.24013,1.24117,1.23833,1.24037,6062.0
20150726,1.24037,1.2413,1.2387,1.23919,8020.0
20150727,1.2392,1.23982,1.2307,1.23296,10008.0
20150728,1.23295,1.23347,1.23005,1.23171,9153.0
20150729,1.2317,1.23285,1.2302,1.23135,6717.0
20150730,1.23135,1.23185,1.22854,1.22868,6589.0
20150731,1.22869,1.23023,1.22807,1.22915,10159.0
20150801,1.22916,1.2302,1.22622,1.22644,13802.0
20150802,1.22643,1.23202,1.22631,1.23137,17819.0
20150803,1.23138,1.23354,1.23087,1.23209,10287.0
20150804,1.23208,1.23391,1.23157,1.23252,8100.0
20150805,1.23253,1.23397,1.2323,1.23299,5001.0
20150806,1.233,1.23367,1.23214,1.23361,4136.0
20150807,1.23362,1.23382,1.23267,1.2334,5793.0
20150808,1.2334,1.23411,1.23317,1.23403,1862.0
20150809,1.23368,1.23368,1.23239,1.23281,728.0
20150810,1.23281,1.23352,1.23247,1.23302,1738.0
20150811,1.23302,1.23305,1.23104,1.23242,4444.0
20150812,1.2324,1.23295,1.23129,1.23252,4547.0
20150813,1.23253,1.23361,1.23231,1.23238,3438.0
20150814,1.23238,1.2327,1.23153,1.23252,4027.0
20150815,1.23253,1.23324,1.23229,1.23243,2916.0
20150816,1.23244,1.23245,1.23158,1.23211,3574.0
20150817,1.23211,1.23363,1.23178,1.23285,4678.0
20150818,1.23279,1.23379,1.23031,1.23162,6846.0
20150819,1.23162,1.23303,1.23095,1.23151,8653.0
20150820,1.23146,1.23293,1.23038,1.23093,7428.0
20150821,1.23095,1.23122,1.22819,1.23006,6787.0
20150822,1.23005,1.23117,1.22953,1.2305,6028.0
20150823,1.23049,1.23342,1.23041,1.23298,6668.0
20150824,1.23295,1.23353,1.23064,1.23145,8612.0
20150825,1.23144,1.23635,1.23096,1.23563,12310.0
20150826,1.23564,1.23985,1.23483,1.23571,16898.0
20150827,1.23571,1.23724,1.23325,1.23705,11027.0
20150828,1.23707,1.23827,1.23662,1.23811,5990.0
20150829,1.2381,1.23984,1.23798,1.23896,5548.0
20150830,1.23897,1.23986,1.23869,1.23984,3535.0
20150831,1.23971,1.2399,1.23885,1.23964,4044.0
20150901,1.23964,1.24031,1.23938,1.24011,1573.0
20150902,1.23996,1.24015,1.23881,1.23974,949.0
20150903,1.23973,1.2417,1.23965,1.24091,1171.0
20150904,1.24091,1.24163,1.2406,1.24062,4021.0
20150905,1.24063,1.24091,1.23943,1.24089,4658.0
20150906,1.2409,1.24097,1.23922,1.24,3091.0
20150907,1.24,1.24033,1.23929,1.23938,3269.0
20150908,1.23939,1.2402,1.23933,1.23989,2472.0
20150909,1.23987,1.24002,1.23887,1.23998,2514.0
20150910,1.23998,1.24098,1.23979,1.24003,3737.0
20150911,1.24004,1.24105,1.23839,1.24079,6301.0
20150912,1.24075,1.24295,1.2388,1.23922,9407.0
20150913,1.23921,1.23963,1.23731,1.23836,8193.0
20150914,1.23835,1.24004,1.23813,1.23945,5221.0
