Datetime,Open,High,Low,Close,Vol,spread,real_volume,Ask,Bid,Current_Spread,EMA_50,EMA_200,RSI,MACD,MACD_Signal,ATR,Candle_Body,Upper_Shadow,Lower_Shadow,Tenkan_Sen,Kijun_Sen,Senkou_Span_A,Senkou_Span_B,Chikou_Span_Rel
2026-01-12 04:15:00,1.34293,1.34299,1.34263,1.34264,243,9,0,1.36814,1.36805,8.999999999992347e-05,1.341858751151242,1.3414138902680237,37.32394366196968,0.0003868631565244751,0.0005541190319869787,0.0004114285714285547,0.00028999999999990145,5.999999999994898e-05,1.0000000000065512e-05,1.34296,1.34218,1.3397700000000001,1.34001,0.0023200000000000998
2026-01-12 04:20:00,1.34264,1.34287,1.34264,1.34272,214,9,0,1.36814,1.36805,8.999999999992347e-05,1.3418925256158993,1.3414268863847598,35.74007220216336,0.0003453549639333975,0.0005123662183762625,0.0003878571428571303,7.999999999985796e-05,0.0001500000000000945,0.0,1.34296,1.3425349999999998,1.34015,1.34015,0.0014899999999999913
2026-01-12 04:25:00,1.34272,1.3428200000000001,1.3425,1.3425,186,9,0,1.36814,1.36805,8.999999999992347e-05,1.341916348140766,1.3414375641321752,33.788395904434836,0.00029134877356806754,0.00046816272941462353,0.00037999999999998354,0.00021999999999988695,0.00010000000000021103,0.0,1.34292,1.3425349999999998,1.3403550000000002,1.3403550000000002,0.0009400000000001629
2026-01-12 04:30:00,1.3425,1.34281,1.34231,1.34279,424,9,0,1.36814,1.36805,8.999999999992347e-05,1.3419506089979911,1.3414510212054869,30.465949820785283,0.00026884992044906575,0.000428300167621512,0.0003707142857142877,0.00028999999999990145,2.0000000000131024e-05,0.0001900000000001345,1.342825,1.34254,1.3403550000000002,1.3403550000000002,0.0017599999999999838
2026-01-12 04:35:00,1.34281,1.34301,1.34273,1.34291,242,9,0,1.36814,1.36805,8.999999999992347e-05,1.3419882321745407,1.3414655384074226,37.16475095785431,0.00025773144668983505,0.00039418642343517666,0.0003607142857143015,9.999999999998899e-05,9.999999999998899e-05,8.000000000008001e-05,1.342825,1.3426550000000002,1.3403550000000002,1.3403550000000002,0.0015400000000000968
2026-01-12 04:40:00,1.34291,1.34311,1.34288,1.3430900000000001,237,9,0,1.36814,1.36805,8.999999999992347e-05,1.3420314387559311,1.3414817022043637,52.03619909502608,0.0002604422556053976,0.0003674375898692209,0.0003307142857142953,0.000180000000000069,1.999999999990898e-05,2.999999999997449e-05,1.342825,1.3431600000000001,1.34069,1.34069,0.0008000000000001339
2026-01-12 04:45:00,1.3430900000000001,1.3431,1.3428200000000001,1.3428200000000001,177,9,0,1.36814,1.36805,8.999999999992347e-05,1.3420623627262867,1.3414950186003403,46.3709677419383,0.00023805964429324256,0.0003415620007540252,0.0003271428571428433,0.00026999999999999247,9.999999999843467e-06,0.0,1.342825,1.3431799999999998,1.3411300000000002,1.3411300000000002,-0.00034999999999985043
2026-01-12 04:50:00,1.3428200000000001,1.34287,1.3426,1.34265,252,9,0,1.36814,1.36805,8.999999999992347e-05,1.342085407325256,1.3415065109525757,47.717842323650345,0.00020424922637829468,0.00031409944587887915,0.000318571428571422,0.00017000000000022553,4.999999999988347e-05,4.999999999988347e-05,1.3427099999999998,1.3431799999999998,1.3411300000000002,1.3411300000000002,-0.00048000000000003595
2026-01-12 04:55:00,1.34264,1.34264,1.3421,1.34226,242,9,0,1.36814,1.36805,8.999999999992347e-05,1.3420922540968145,1.3415140083560328,39.78102189780714,0.0001443208450906397,0.00028014372572123127,0.00034357142857141136,0.00038000000000004697,0.0,0.00015999999999993797,1.342605,1.343075,1.3412225,1.34118,-0.0009699999999999154
2026-01-12 05:00:00,1.34226,1.3425799999999999,1.34223,1.3424800000000001,304,9,0,1.36814,1.36805,8.999999999992347e-05,1.342107459818508,1.3415236202131868,45.80419580419885,0.0001132735851632205,0.0002467696976096291,0.00034928571428568693,0.000220000000000109,9.999999999976694e-05,2.999999999997449e-05,1.342605,1.343075,1.34159,1.341275,-0.0008499999999997954
